Species 1,Species 2,Dist
AB105165.1 A.rochei,AB105447.1 A.thazard,"0,1004926123"
AB103467.1 A.rochei,AB105447.1 A.thazard,"0,1145780508"
NC 005313.1 A.rochei,AB105447.1 A.thazard,"0,1145780508"
KP259551.1 A.thazard,AB105447.1 A.thazard,"0,0116346719"
MW232425.1 A.rochei,NC 005318.1 A.thazard,"0,1039769470"
KM651784.1 A.rochei,NC 005318.1 A.thazard,"0,1074857333"
KP259548.1 A.rochei,NC 005318.1 A.thazard,"0,1039769470"
MK548578.1 A.rochei,NC 005318.1 A.thazard,"0,1074857333"
MW232421.1 A.rochei,NC 005318.1 A.thazard,"0,1074857333"
AB103468.1 A.rochei,NC 005318.1 A.thazard,"0,1039769470"
AB105165.1 A.rochei,NC 005318.1 A.thazard,"0,1004926123"
AB103467.1 A.rochei,NC 005318.1 A.thazard,"0,1145780508"
NC 005313.1 A.rochei,NC 005318.1 A.thazard,"0,1145780508"
KP259551.1 A.thazard,NC 005318.1 A.thazard,"0,0116346719"
AB105447.1 A.thazard,NC 005318.1 A.thazard,"0,0000000000"
MW232425.1 A.rochei,MK801690.1 A.thazard,"0,1072163619"
KM651784.1 A.rochei,MK801690.1 A.thazard,"0,1107375032"
KP259548.1 A.rochei,MK801690.1 A.thazard,"0,1072163619"
MK548578.1 A.rochei,MK801690.1 A.thazard,"0,1107375032"
MW232421.1 A.rochei,MK801690.1 A.thazard,"0,1107375032"
AB103468.1 A.rochei,MK801690.1 A.thazard,"0,1072163619"
AB105165.1 A.rochei,MK801690.1 A.thazard,"0,1037198441"
AB103467.1 A.rochei,MK801690.1 A.thazard,"0,1184848050"
NC 005313.1 A.rochei,MK801690.1 A.thazard,"0,1184848050"
KP259551.1 A.thazard,MK801690.1 A.thazard,"0,0175971241"
AB105447.1 A.thazard,MK801690.1 A.thazard,"0,0175519007"
NC 005318.1 A.thazard,MK801690.1 A.thazard,"0,0175519007"
MW232425.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
KM651784.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
KP259548.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
MK548578.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
MW232421.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
AB103468.1 A.rochei,KM651783.1 E.affinis,"0,2002012677"
AB105165.1 A.rochei,KM651783.1 E.affinis,"0,1961851819"
AB103467.1 A.rochei,KM651783.1 E.affinis,"0,1849911322"
NC 005313.1 A.rochei,KM651783.1 E.affinis,"0,1849911322"
KP259551.1 A.thazard,KM651783.1 E.affinis,"0,1889437220"
AB105447.1 A.thazard,KM651783.1 E.affinis,"0,1965551998"
NC 005318.1 A.thazard,KM651783.1 E.affinis,"0,1965551998"
MK801690.1 A.thazard,KM651783.1 E.affinis,"0,1929278068"
MW232425.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
KM651784.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
KP259548.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
MK548578.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
MW232421.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
AB103468.1 A.rochei,MW232422.1 E.affinis,"0,2042498728"
AB105165.1 A.rochei,MW232422.1 E.affinis,"0,2002012677"
AB103467.1 A.rochei,MW232422.1 E.affinis,"0,1889437220"
NC 005313.1 A.rochei,MW232422.1 E.affinis,"0,1889437220"
KP259551.1 A.thazard,MW232422.1 E.affinis,"0,1889437220"
AB105447.1 A.thazard,MW232422.1 E.affinis,"0,1965551998"
NC 005318.1 A.thazard,MW232422.1 E.affinis,"0,1965551998"
MK801690.1 A.thazard,MW232422.1 E.affinis,"0,1929278068"
KM651783.1 E.affinis,MW232422.1 E.affinis,"0,0028901815"
MW232425.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
KM651784.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
KP259548.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
MK548578.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
MW232421.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
AB103468.1 A.rochei,MW232423.1 E.affinis,"0,2002012677"
AB105165.1 A.rochei,MW232423.1 E.affinis,"0,1961851819"
AB103467.1 A.rochei,MW232423.1 E.affinis,"0,1849911322"
NC 005313.1 A.rochei,MW232423.1 E.affinis,"0,1849911322"
KP259551.1 A.thazard,MW232423.1 E.affinis,"0,1889437220"
AB105447.1 A.thazard,MW232423.1 E.affinis,"0,1965551998"
NC 005318.1 A.thazard,MW232423.1 E.affinis,"0,1965551998"
MK801690.1 A.thazard,MW232423.1 E.affinis,"0,1929278068"
KM651783.1 E.affinis,MW232423.1 E.affinis,"0,0000000000"
MW232422.1 E.affinis,MW232423.1 E.affinis,"0,0028901815"
MW232425.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
KM651784.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
KP259548.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
MK548578.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
MW232421.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
AB103468.1 A.rochei,NC 025934.1 E.affinis,"0,2002012677"
AB105165.1 A.rochei,NC 025934.1 E.affinis,"0,1961851819"
AB103467.1 A.rochei,NC 025934.1 E.affinis,"0,1849911322"
NC 005313.1 A.rochei,NC 025934.1 E.affinis,"0,1849911322"
KP259551.1 A.thazard,NC 025934.1 E.affinis,"0,1889437220"
AB105447.1 A.thazard,NC 025934.1 E.affinis,"0,1965551998"
NC 005318.1 A.thazard,NC 025934.1 E.affinis,"0,1965551998"
MK801690.1 A.thazard,NC 025934.1 E.affinis,"0,1929278068"
KM651783.1 E.affinis,NC 025934.1 E.affinis,"0,0000000000"
MW232422.1 E.affinis,NC 025934.1 E.affinis,"0,0028901815"
MW232423.1 E.affinis,NC 025934.1 E.affinis,"0,0000000000"
MW232425.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
KM651784.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
KP259548.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
MK548578.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
MW232421.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
AB103468.1 A.rochei,AP012946.1 E.affinis,"0,1961851819"
AB105165.1 A.rochei,AP012946.1 E.affinis,"0,1922010971"
AB103467.1 A.rochei,AP012946.1 E.affinis,"0,1810695435"
NC 005313.1 A.rochei,AP012946.1 E.affinis,"0,1810695435"
KP259551.1 A.thazard,AP012946.1 E.affinis,"0,1849911322"
AB105447.1 A.thazard,AP012946.1 E.affinis,"0,1925551785"
NC 005318.1 A.thazard,AP012946.1 E.affinis,"0,1925551785"
MK801690.1 A.thazard,AP012946.1 E.affinis,"0,1889437220"
KM651783.1 E.affinis,AP012946.1 E.affinis,"0,0028901815"
MW232422.1 E.affinis,AP012946.1 E.affinis,"0,0057971664"
MW232423.1 E.affinis,AP012946.1 E.affinis,"0,0028901815"
NC 025934.1 E.affinis,AP012946.1 E.affinis,"0,0028901815"
MW232425.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
KM651784.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
KP259548.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
MK548578.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
MW232421.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
AB103468.1 A.rochei,AB099716.1 E.alletteratus,"0,1853506126"
AB105165.1 A.rochei,AB099716.1 E.alletteratus,"0,1893188873"
AB103467.1 A.rochei,AB099716.1 E.alletteratus,"0,1814135843"
NC 005313.1 A.rochei,AB099716.1 E.alletteratus,"0,1814135843"
KP259551.1 A.thazard,AB099716.1 E.alletteratus,"0,1973511886"
AB105447.1 A.thazard,AB099716.1 E.alletteratus,"0,2018586747"
NC 005318.1 A.thazard,AB099716.1 E.alletteratus,"0,2018586747"
MK801690.1 A.thazard,AB099716.1 E.alletteratus,"0,1893188873"
KM651783.1 E.affinis,AB099716.1 E.alletteratus,"0,1439983008"
MW232422.1 E.affinis,AB099716.1 E.alletteratus,"0,1478006005"
MW232423.1 E.affinis,AB099716.1 E.alletteratus,"0,1439983008"
NC 025934.1 E.affinis,AB099716.1 E.alletteratus,"0,1439983008"
AP012946.1 E.affinis,AB099716.1 E.alletteratus,"0,1402246980"
MW232425.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
KM651784.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
KP259548.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
MK548578.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
MW232421.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
AB103468.1 A.rochei,NC 004530.1 E.alletteratus,"0,1853506126"
AB105165.1 A.rochei,NC 004530.1 E.alletteratus,"0,1893188873"
AB103467.1 A.rochei,NC 004530.1 E.alletteratus,"0,1814135843"
NC 005313.1 A.rochei,NC 004530.1 E.alletteratus,"0,1814135843"
KP259551.1 A.thazard,NC 004530.1 E.alletteratus,"0,1973511886"
AB105447.1 A.thazard,NC 004530.1 E.alletteratus,"0,2018586747"
NC 005318.1 A.thazard,NC 004530.1 E.alletteratus,"0,2018586747"
MK801690.1 A.thazard,NC 004530.1 E.alletteratus,"0,1893188873"
KM651783.1 E.affinis,NC 004530.1 E.alletteratus,"0,1439983008"
MW232422.1 E.affinis,NC 004530.1 E.alletteratus,"0,1478006005"
MW232423.1 E.affinis,NC 004530.1 E.alletteratus,"0,1439983008"
NC 025934.1 E.affinis,NC 004530.1 E.alletteratus,"0,1439983008"
AP012946.1 E.affinis,NC 004530.1 E.alletteratus,"0,1402246980"
AB099716.1 E.alletteratus,NC 004530.1 E.alletteratus,"0,0000000000"
MW232425.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
KM651784.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
KP259548.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
MK548578.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
MW232421.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
AB103468.1 A.rochei,MW232424.1 E.alletteratus,"0,1853506126"
AB105165.1 A.rochei,MW232424.1 E.alletteratus,"0,1893188873"
AB103467.1 A.rochei,MW232424.1 E.alletteratus,"0,1814135843"
NC 005313.1 A.rochei,MW232424.1 E.alletteratus,"0,1814135843"
KP259551.1 A.thazard,MW232424.1 E.alletteratus,"0,1973511886"
AB105447.1 A.thazard,MW232424.1 E.alletteratus,"0,2018586747"
NC 005318.1 A.thazard,MW232424.1 E.alletteratus,"0,2018586747"
MK801690.1 A.thazard,MW232424.1 E.alletteratus,"0,1893188873"
KM651783.1 E.affinis,MW232424.1 E.alletteratus,"0,1439983008"
MW232422.1 E.affinis,MW232424.1 E.alletteratus,"0,1478006005"
MW232423.1 E.affinis,MW232424.1 E.alletteratus,"0,1439983008"
NC 025934.1 E.affinis,MW232424.1 E.alletteratus,"0,1439983008"
AP012946.1 E.affinis,MW232424.1 E.alletteratus,"0,1402246980"
AB099716.1 E.alletteratus,MW232424.1 E.alletteratus,"0,0000000000"
NC 004530.1 E.alletteratus,MW232424.1 E.alletteratus,"0,0000000000"
MW232425.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
KM651784.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
KP259548.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
MK548578.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
MW232421.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
AB103468.1 A.rochei,JN086155.1 K.pelamis,"0,1707883490"
AB105165.1 A.rochei,JN086155.1 K.pelamis,"0,1746794193"
AB103467.1 A.rochei,JN086155.1 K.pelamis,"0,1561587526"
NC 005313.1 A.rochei,JN086155.1 K.pelamis,"0,1561587526"
KP259551.1 A.thazard,JN086155.1 K.pelamis,"0,1645574969"
AB105447.1 A.thazard,JN086155.1 K.pelamis,"0,1641664733"
NC 005318.1 A.thazard,JN086155.1 K.pelamis,"0,1641664733"
MK801690.1 A.thazard,JN086155.1 K.pelamis,"0,1568650375"
KM651783.1 E.affinis,JN086155.1 K.pelamis,"0,1446363988"
MW232422.1 E.affinis,JN086155.1 K.pelamis,"0,1446363988"
MW232423.1 E.affinis,JN086155.1 K.pelamis,"0,1446363988"
NC 025934.1 E.affinis,JN086155.1 K.pelamis,"0,1446363988"
AP012946.1 E.affinis,JN086155.1 K.pelamis,"0,1483401195"
AB099716.1 E.alletteratus,JN086155.1 K.pelamis,"0,1486398139"
NC 004530.1 E.alletteratus,JN086155.1 K.pelamis,"0,1486398139"
MW232424.1 E.alletteratus,JN086155.1 K.pelamis,"0,1486398139"
MW232425.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
KM651784.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
KP259548.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
MK548578.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
MW232421.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
AB103468.1 A.rochei,AB101290.1 K.pelamis,"0,1707883490"
AB105165.1 A.rochei,AB101290.1 K.pelamis,"0,1746794193"
AB103467.1 A.rochei,AB101290.1 K.pelamis,"0,1561587526"
NC 005313.1 A.rochei,AB101290.1 K.pelamis,"0,1561587526"
KP259551.1 A.thazard,AB101290.1 K.pelamis,"0,1568650375"
AB105447.1 A.thazard,AB101290.1 K.pelamis,"0,1641664733"
NC 005318.1 A.thazard,AB101290.1 K.pelamis,"0,1641664733"
MK801690.1 A.thazard,AB101290.1 K.pelamis,"0,1568650375"
KM651783.1 E.affinis,AB101290.1 K.pelamis,"0,1446363988"
MW232422.1 E.affinis,AB101290.1 K.pelamis,"0,1446363988"
MW232423.1 E.affinis,AB101290.1 K.pelamis,"0,1446363988"
NC 025934.1 E.affinis,AB101290.1 K.pelamis,"0,1446363988"
AP012946.1 E.affinis,AB101290.1 K.pelamis,"0,1483401195"
AB099716.1 E.alletteratus,AB101290.1 K.pelamis,"0,1412322710"
NC 004530.1 E.alletteratus,AB101290.1 K.pelamis,"0,1412322710"
MW232424.1 E.alletteratus,AB101290.1 K.pelamis,"0,1412322710"
JN086155.1 K.pelamis,AB101290.1 K.pelamis,"0,0087211513"
MW232425.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
KM651784.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
KP259548.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
MK548578.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
MW232421.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
AB103468.1 A.rochei,NC 005316.1 K.pelamis,"0,1707883490"
AB105165.1 A.rochei,NC 005316.1 K.pelamis,"0,1746794193"
AB103467.1 A.rochei,NC 005316.1 K.pelamis,"0,1561587526"
NC 005313.1 A.rochei,NC 005316.1 K.pelamis,"0,1561587526"
KP259551.1 A.thazard,NC 005316.1 K.pelamis,"0,1568650375"
AB105447.1 A.thazard,NC 005316.1 K.pelamis,"0,1641664733"
NC 005318.1 A.thazard,NC 005316.1 K.pelamis,"0,1641664733"
MK801690.1 A.thazard,NC 005316.1 K.pelamis,"0,1568650375"
KM651783.1 E.affinis,NC 005316.1 K.pelamis,"0,1446363988"
MW232422.1 E.affinis,NC 005316.1 K.pelamis,"0,1446363988"
MW232423.1 E.affinis,NC 005316.1 K.pelamis,"0,1446363988"
NC 025934.1 E.affinis,NC 005316.1 K.pelamis,"0,1446363988"
AP012946.1 E.affinis,NC 005316.1 K.pelamis,"0,1483401195"
AB099716.1 E.alletteratus,NC 005316.1 K.pelamis,"0,1412322710"
NC 004530.1 E.alletteratus,NC 005316.1 K.pelamis,"0,1412322710"
MW232424.1 E.alletteratus,NC 005316.1 K.pelamis,"0,1412322710"
JN086155.1 K.pelamis,NC 005316.1 K.pelamis,"0,0087211513"
AB101290.1 K.pelamis,NC 005316.1 K.pelamis,"0,0000000000"
MW232425.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
KM651784.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
KP259548.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
MK548578.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
MW232421.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
AB103468.1 A.rochei,GU256527.1 K.pelamis,"0,1707883490"
AB105165.1 A.rochei,GU256527.1 K.pelamis,"0,1746794193"
AB103467.1 A.rochei,GU256527.1 K.pelamis,"0,1561587526"
NC 005313.1 A.rochei,GU256527.1 K.pelamis,"0,1561587526"
KP259551.1 A.thazard,GU256527.1 K.pelamis,"0,1645574969"
AB105447.1 A.thazard,GU256527.1 K.pelamis,"0,1641664733"
NC 005318.1 A.thazard,GU256527.1 K.pelamis,"0,1641664733"
MK801690.1 A.thazard,GU256527.1 K.pelamis,"0,1568650375"
KM651783.1 E.affinis,GU256527.1 K.pelamis,"0,1446363988"
MW232422.1 E.affinis,GU256527.1 K.pelamis,"0,1446363988"
MW232423.1 E.affinis,GU256527.1 K.pelamis,"0,1446363988"
NC 025934.1 E.affinis,GU256527.1 K.pelamis,"0,1446363988"
AP012946.1 E.affinis,GU256527.1 K.pelamis,"0,1483401195"
AB099716.1 E.alletteratus,GU256527.1 K.pelamis,"0,1486398139"
NC 004530.1 E.alletteratus,GU256527.1 K.pelamis,"0,1486398139"
MW232424.1 E.alletteratus,GU256527.1 K.pelamis,"0,1486398139"
JN086155.1 K.pelamis,GU256527.1 K.pelamis,"0,0000000000"
AB101290.1 K.pelamis,GU256527.1 K.pelamis,"0,0087211513"
NC 005316.1 K.pelamis,GU256527.1 K.pelamis,"0,0087211513"
MW232425.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
KM651784.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
KP259548.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
MK548578.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
MW232421.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
AB103468.1 A.rochei,KM605252.1 K.pelamis,"0,1707883490"
AB105165.1 A.rochei,KM605252.1 K.pelamis,"0,1746794193"
AB103467.1 A.rochei,KM605252.1 K.pelamis,"0,1561587526"
NC 005313.1 A.rochei,KM605252.1 K.pelamis,"0,1561587526"
KP259551.1 A.thazard,KM605252.1 K.pelamis,"0,1568650375"
AB105447.1 A.thazard,KM605252.1 K.pelamis,"0,1641664733"
NC 005318.1 A.thazard,KM605252.1 K.pelamis,"0,1641664733"
MK801690.1 A.thazard,KM605252.1 K.pelamis,"0,1568650375"
KM651783.1 E.affinis,KM605252.1 K.pelamis,"0,1373102604"
MW232422.1 E.affinis,KM605252.1 K.pelamis,"0,1373102604"
MW232423.1 E.affinis,KM605252.1 K.pelamis,"0,1373102604"
NC 025934.1 E.affinis,KM605252.1 K.pelamis,"0,1373102604"
AP012946.1 E.affinis,KM605252.1 K.pelamis,"0,1409599117"
AB099716.1 E.alletteratus,KM605252.1 K.pelamis,"0,1412322710"
NC 004530.1 E.alletteratus,KM605252.1 K.pelamis,"0,1412322710"
MW232424.1 E.alletteratus,KM605252.1 K.pelamis,"0,1412322710"
JN086155.1 K.pelamis,KM605252.1 K.pelamis,"0,0116623363"
AB101290.1 K.pelamis,KM605252.1 K.pelamis,"0,0087211513"
NC 005316.1 K.pelamis,KM605252.1 K.pelamis,"0,0087211513"
GU256527.1 K.pelamis,KM605252.1 K.pelamis,"0,0116623363"
MW232425.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
KM651784.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
KP259548.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
MK548578.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
MW232421.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
AB103468.1 A.rochei,MW232426.1 K.pelamis,"0,1746794193"
AB105165.1 A.rochei,MW232426.1 K.pelamis,"0,1786010080"
AB103467.1 A.rochei,MW232426.1 K.pelamis,"0,1599610523"
NC 005313.1 A.rochei,MW232426.1 K.pelamis,"0,1599610523"
KP259551.1 A.thazard,MW232426.1 K.pelamis,"0,1606964739"
AB105447.1 A.thazard,MW232426.1 K.pelamis,"0,1603203005"
NC 005318.1 A.thazard,MW232426.1 K.pelamis,"0,1603203005"
MK801690.1 A.thazard,MW232426.1 K.pelamis,"0,1530627378"
KM651783.1 E.affinis,MW232426.1 K.pelamis,"0,1409599117"
MW232422.1 E.affinis,MW232426.1 K.pelamis,"0,1409599117"
MW232423.1 E.affinis,MW232426.1 K.pelamis,"0,1409599117"
NC 025934.1 E.affinis,MW232426.1 K.pelamis,"0,1409599117"
AP012946.1 E.affinis,MW232426.1 K.pelamis,"0,1446363988"
AB099716.1 E.alletteratus,MW232426.1 K.pelamis,"0,1449223247"
NC 004530.1 E.alletteratus,MW232426.1 K.pelamis,"0,1449223247"
MW232424.1 E.alletteratus,MW232426.1 K.pelamis,"0,1449223247"
JN086155.1 K.pelamis,MW232426.1 K.pelamis,"0,0057971664"
AB101290.1 K.pelamis,MW232426.1 K.pelamis,"0,0087211513"
NC 005316.1 K.pelamis,MW232426.1 K.pelamis,"0,0087211513"
GU256527.1 K.pelamis,MW232426.1 K.pelamis,"0,0057971664"
KM605252.1 K.pelamis,MW232426.1 K.pelamis,"0,0116623363"
MW232425.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
KM651784.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
KP259548.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
MK548578.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
MW232421.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
AB103468.1 A.rochei,MW232429.1 K.pelamis,"0,1746794193"
AB105165.1 A.rochei,MW232429.1 K.pelamis,"0,1786010080"
AB103467.1 A.rochei,MW232429.1 K.pelamis,"0,1599610523"
NC 005313.1 A.rochei,MW232429.1 K.pelamis,"0,1599610523"
KP259551.1 A.thazard,MW232429.1 K.pelamis,"0,1606964739"
AB105447.1 A.thazard,MW232429.1 K.pelamis,"0,1603203005"
NC 005318.1 A.thazard,MW232429.1 K.pelamis,"0,1603203005"
MK801690.1 A.thazard,MW232429.1 K.pelamis,"0,1530627378"
KM651783.1 E.affinis,MW232429.1 K.pelamis,"0,1483401195"
MW232422.1 E.affinis,MW232429.1 K.pelamis,"0,1483401195"
MW232423.1 E.affinis,MW232429.1 K.pelamis,"0,1483401195"
NC 025934.1 E.affinis,MW232429.1 K.pelamis,"0,1483401195"
AP012946.1 E.affinis,MW232429.1 K.pelamis,"0,1520714801"
AB099716.1 E.alletteratus,MW232429.1 K.pelamis,"0,1449223247"
NC 004530.1 E.alletteratus,MW232429.1 K.pelamis,"0,1449223247"
MW232424.1 E.alletteratus,MW232429.1 K.pelamis,"0,1449223247"
JN086155.1 K.pelamis,MW232429.1 K.pelamis,"0,0087211513"
AB101290.1 K.pelamis,MW232429.1 K.pelamis,"0,0116623363"
NC 005316.1 K.pelamis,MW232429.1 K.pelamis,"0,0116623363"
GU256527.1 K.pelamis,MW232429.1 K.pelamis,"0,0087211513"
KM605252.1 K.pelamis,MW232429.1 K.pelamis,"0,0146209248"
MW232426.1 K.pelamis,MW232429.1 K.pelamis,"0,0087211513"
MW232425.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
KM651784.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
KP259548.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
MK548578.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
MW232421.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
AB103468.1 A.rochei,AB101291.1 T.alalunga,"0,2005874797"
AB105165.1 A.rochei,AB101291.1 T.alalunga,"0,2046525428"
